"Species","NicheBreadth","Occurrences","LogOccurrences","Bootstrap","Algorithm","PAStrategy","PANumber","MeanSuitability","SuitableArea","SchoenersD","ElevationCentroid","TSS"
"Silene acaulis",0.650086721719821,4327,3.63618689519872,7,"GLM","disk",3,214.057926253608,33.414930555555,0.859430761315631,2121.32935003972,293
"Silene acaulis",0.650086721719821,4327,3.63618689519872,7,"GAM","disk",3,218.288147708575,36.3107638888883,0.880082292335546,2121.28740534636,242
"Silene acaulis",0.650086721719821,4327,3.63618689519872,7,"RF","disk",3,191.798883284331,23.5590277777774,0.795535383732472,2137.50933794244,449.5
"Silene acaulis",0.650086721719821,4327,3.63618689519872,7,"MAXENT","disk",3,111.708939120114,15.222222222222,0.422705827301588,2267.51564241001,120
"Silene acaulis",0.650086721719821,4327,3.63618689519872,7,"GLM","disk",5,186.711906239042,32.1614583333328,0.812811575992856,2139.73416868795,232
"Silene acaulis",0.650086721719821,4327,3.63618689519872,7,"GAM","disk",5,187.927737167211,35.3906249999994,0.829306182849483,2143.72498024629,172
"Silene acaulis",0.650086721719821,4327,3.63618689519872,7,"RF","disk",5,170.665524775443,20.8472222222219,0.760823617815469,2156.23880625558,449.5
"Silene acaulis",0.650086721719821,4327,3.63618689519872,7,"MAXENT","disk",5,96.0442505327327,14.4618055555553,0.376259186428533,2351.96968585919,20
"Silene acaulis",0.650086721719821,4327,3.63618689519872,8,"GLM","random",1,212.960415936126,25.5364583333329,0.875224305209458,2175.78495757137,499
"Silene acaulis",0.650086721719821,4327,3.63618689519872,8,"GAM","random",1,222.007053650905,30.9704861111106,0.869151992440908,2204.5740708532,392
"Silene acaulis",0.650086721719821,4327,3.63618689519872,8,"RF","random",1,103.915113424864,7.001736111111,0.701108108531313,2294.18586352304,495
"Silene acaulis",0.650086721719821,4327,3.63618689519872,8,"MAXENT","random",1,54.0673401127505,22.4774305555552,0.436600286144763,2530.35040710902,30
"Silene acaulis",0.650086721719821,4327,3.63618689519872,8,"GLM","random",3,126.516872117174,25.2118055555552,0.786697314590222,2278.50055635388,250
"Silene acaulis",0.650086721719821,4327,3.63618689519872,8,"GAM","random",3,135.251962344563,30.069444444444,0.788897332384864,2320.0122527121,190
"Silene acaulis",0.650086721719821,4327,3.63618689519872,8,"RF","random",3,50.8804790548377,3.0225694444444,0.557604576975224,2445.63993379604,495
"Silene acaulis",0.650086721719821,4327,3.63618689519872,8,"MAXENT","random",3,50.6517411593343,18.0329861111108,0.512508917616504,2481.34364941751,71
"Silene acaulis",0.650086721719821,4327,3.63618689519872,8,"GLM","random",5,94.5142286839479,26.4236111111107,0.745614002668994,2324.74957747395,156
"Silene acaulis",0.650086721719821,4327,3.63618689519872,8,"GAM","random",5,101.344266717018,32.4600694444439,0.74729036196542,2372.69497803646,108
"Silene acaulis",0.650086721719821,4327,3.63618689519872,8,"RF","random",5,34.6010303994821,2.10763888888886,0.487406329878804,2516.32002613107,485
"Silene acaulis",0.650086721719821,4327,3.63618689519872,8,"MAXENT","random",5,55.7532705742724,17.2638888888886,0.542511845481538,2453.86373244326,91
"Silene acaulis",0.650086721719821,4327,3.63618689519872,8,"GLM","disk",1,280.765435761875,36.3124999999994,0.915951835245477,2086.89901715056,465
"Silene acaulis",0.650086721719821,4327,3.63618689519872,8,"GAM","disk",1,283.735562269037,35.4357638888883,0.909677974420192,2090.67185735695,505
"Silene acaulis",0.650086721719821,4327,3.63618689519872,8,"RF","disk",1,243.511180643595,28.1423611111107,0.865150117501255,2109.94251929342,505
"Silene acaulis",0.650086721719821,4327,3.63618689519872,8,"MAXENT","disk",1,149.912362096404,31.1128472222217,0.640336068716062,2216.30976612452,60
"Silene acaulis",0.650086721719821,4327,3.63618689519872,8,"GLM","disk",3,217.51058721981,34.5208333333328,0.873405881093815,2119.24285749718,283
"Silene acaulis",0.650086721719821,4327,3.63618689519872,8,"GAM","disk",3,215.647560219027,38.6388888888883,0.876299692533739,2128.81915761213,192
